time,infectious_A,infectious_B
0.0,1.0,0.0
2.5780358247570305,2.0,0.0
2.713600962763521,3.0,0.0
2.79262863057364,4.0,0.0
3.898575588238417,5.0,0.0
4.20101808956255,6.0,0.0
5.786406048164434,7.0,0.0
5.952663833149102,6.0,0.0
5.9802177483795385,5.0,0.0
6.427428970111609,4.0,0.0
7.288563461684923,3.0,0.0
7.476790035362363,4.0,0.0
12.04150393271496,3.0,0.0
12.526126906521252,2.0,0.0
14.458490537511427,3.0,0.0
19.222217444362276,2.0,0.0
21.456213569118688,3.0,0.0
22.82968998575491,4.0,0.0
23.329391953833525,3.0,0.0
25.288314456427713,4.0,0.0
26.618996573612556,5.0,0.0
28.300189239262462,5.0,0.0
28.660718769828765,4.0,0.0
29.51600314749537,5.0,0.0
30.51172426289633,6.0,0.0
31.15210376874328,5.0,0.0
31.196550342265546,6.0,0.0
32.023301155448756,5.0,0.0
32.24976144633197,6.0,0.0
32.35948683761616,7.0,0.0
32.693120710167065,8.0,0.0
33.27823963077443,7.0,0.0
34.459802825740304,8.0,0.0
34.53034421101775,8.0,0.0
34.67727062832265,9.0,0.0
35.46932395518827,10.0,0.0
35.50123052463167,11.0,0.0
35.92476590358377,10.0,0.0
36.87069649661444,9.0,0.0
37.283852814436436,10.0,0.0
37.768798659832655,9.0,0.0
38.100149090310644,8.0,0.0
39.78174299196612,7.0,0.0
41.133341073898926,7.0,0.0
41.17401681614077,6.0,0.0
41.70719421175137,7.0,0.0
42.76407852241225,8.0,0.0
43.00997259419842,7.0,0.0
43.19601967928105,8.0,0.0
43.73784061114083,7.0,0.0
44.41607323168652,6.0,0.0
45.341548230309655,5.0,0.0
47.11085979537469,6.0,0.0
47.32935291582869,7.0,0.0
48.926790630164724,6.0,0.0
49.16348827306943,7.0,0.0
50.34497667726899,8.0,0.0
51.44583928333357,9.0,0.0
53.20448316774304,10.0,0.0
53.20480872306875,11.0,0.0
53.32440718180753,12.0,0.0
53.634956598543596,13.0,0.0
53.717315173886135,12.0,0.0
54.29146528451258,13.0,0.0
54.52784254847084,14.0,0.0
54.830982583689625,13.0,0.0
54.86681571189028,14.0,0.0
55.33395035488565,15.0,0.0
55.533350857849854,16.0,0.0
55.708951073215935,15.0,0.0
55.71055936183659,14.0,0.0
55.73777881942465,15.0,0.0
55.98542773250889,16.0,0.0
56.41952980964388,17.0,0.0
57.20533345206264,18.0,0.0
57.78327909136373,17.0,0.0
57.85353442144905,16.0,0.0
57.94468049201199,17.0,0.0
58.08343437324781,18.0,0.0
58.766670451789686,17.0,0.0
58.790576509881625,18.0,0.0
58.80117949872708,17.0,0.0
58.83734592604348,16.0,0.0
58.860946358138904,17.0,0.0
58.97938353053158,17.0,0.0
59.04784187507119,16.0,0.0
59.152309044594624,15.0,0.0
59.21969143676288,14.0,0.0
59.28002618163075,13.0,0.0
60.163442183811966,14.0,0.0
60.25567736354185,15.0,0.0
60.48543762760899,16.0,0.0
60.700373490304536,17.0,0.0
61.32676681904956,16.0,0.0
61.35121560248446,17.0,0.0
61.43430580155991,18.0,0.0
61.74694189441738,19.0,0.0
62.09093085894014,18.0,0.0
62.291363360165775,18.0,0.0
63.009222782115536,19.0,0.0
63.482890523605256,20.0,0.0
63.95035036608476,21.0,0.0
64.00471695534667,22.0,0.0
64.21236558495714,21.0,0.0
64.64905349055941,20.0,0.0
64.73024839468405,21.0,0.0
64.75729943392706,22.0,0.0
65.05567965514827,23.0,0.0
65.20319789670604,24.0,0.0
65.35039437140748,23.0,0.0
65.57889954599693,22.0,0.0
65.59606821422585,22.0,0.0
65.67595868398612,23.0,0.0
65.92772492753404,24.0,0.0
65.9717872731445,25.0,0.0
66.05021086256518,26.0,0.0
66.0713454252338,27.0,0.0
66.08905856567723,28.0,0.0
66.3568324140271,27.0,0.0
66.41927804622689,26.0,0.0
66.56333262053211,26.0,1.0
66.58030301307679,25.0,1.0
67.32416786892983,24.0,1.0
67.34405325939525,23.0,1.0
67.50318758177583,24.0,1.0
67.52541214596563,25.0,1.0
67.60261655015798,24.0,1.0
67.65163353343416,25.0,1.0
68.10925063484689,24.0,1.0
68.30514660925672,23.0,1.0
68.35049997273293,22.0,1.0
68.49598003528087,23.0,1.0
68.55336685389295,24.0,1.0
68.60320613968308,25.0,1.0
69.04200676760756,26.0,1.0
69.1377725579631,27.0,1.0
69.59144419631318,28.0,1.0
69.60220499619632,27.0,1.0
69.60324059430559,26.0,1.0
69.63180970757087,27.0,1.0
69.77484850278195,28.0,1.0
69.81048661350867,28.0,2.0
69.94826715988751,29.0,2.0
70.05787571121972,28.0,2.0
70.12026261019216,29.0,2.0
70.21806356394822,30.0,2.0
70.4939193639274,29.0,2.0
70.54510457609425,28.0,2.0
70.5999144339755,29.0,2.0
70.64636572869225,29.0,2.0
70.72976275391227,28.0,2.0
70.76360162001232,29.0,2.0
70.81708456470076,28.0,2.0
71.04760902708661,29.0,2.0
71.24990665358563,30.0,2.0
71.43871086089429,29.0,2.0
71.50159638204794,28.0,2.0
71.63777236225081,29.0,2.0
71.7078641824438,30.0,2.0
71.96109395854175,29.0,2.0
71.97448017320748,28.0,2.0
72.01682405037988,28.0,3.0
72.04692185480451,28.0,2.0
72.51128913763509,29.0,2.0
72.63038561247728,30.0,2.0
72.7602692111388,31.0,2.0
73.43223484048285,32.0,2.0
73.44393717929192,32.0,2.0
73.67700806749295,31.0,2.0
73.7458748558894,30.0,2.0
73.74608541908853,31.0,2.0
73.99564262573874,30.0,2.0
74.020741352968,30.0,3.0
74.43728516769481,29.0,3.0
74.70195666894716,30.0,3.0
74.73690750719422,29.0,3.0
74.74067314631752,29.0,4.0
74.83200627156336,28.0,4.0
74.95947494954773,27.0,4.0
75.07547441696155,27.0,5.0
75.08507064470888,26.0,5.0
75.093861546276,25.0,5.0
75.13823774879667,26.0,5.0
75.26128889564912,25.0,5.0
75.47488689728098,26.0,5.0
